Date,avoider,age/sex avoider,type,avoided,age/sex/avoided
2018-05-28,PA,SAM,agg2,WQ,SAM
2018-05-29,AR,SAM,agg3,JO,SAM
2018-05-29,AR,SAM,agg3,MA,SAM
2018-05-29,IY,SAM,agg1,WR,SAM
2018-05-29,MA,SAM,agg2,WR,SAM
2018-05-29,NW,AM,agg2,WR,SAM
2018-05-30,NW,AM,agg2,HS,SAM
2018-05-31,HS,SAM,agg2,HD,SAM
2018-05-31,HS,SAM,agg3,HD,SAM
2018-05-31,YO,AM,agg1,YU,SAM
2018-06-01,EQ,SAM,agg1,OI,SAM
2018-06-01,HC,SAM,agg3,HJ,AM
2018-06-01,HJ,AM,agg2,NQ,AM
2018-06-01,IR,SAM,agg2,WY,SAM
2018-06-02,WY,SAM,agg2,OI,SAM
2018-06-07,GL,SAM,agg2,HJ,AM
2018-06-07,HT,SAM,agg2,WY,SAM
2018-06-07,MA,SAM,agg2,GV,SAM
2018-06-07,ST,SAM,fd,YL,SAM
2018-06-09,HC,SAM,agg2,JO,SAM
2018-06-09,HJ,AM,agg1,OI,SAM
2018-06-11,GV,SAM,agg1,MA,SAM
2018-06-11,GV,SAM,agg2,MA,SAM
2018-06-11,GV,SAM,agg3,MA,SAM
2018-06-11,GV,SAM,agg3,NI,SAM
2018-06-11,WY,SAM,agg1,OI,SAM
2018-06-13,WC,AM,agg1,NI,SAM
2018-06-14,MA,SAM,agg2,NI,SAM
2018-06-14,NP,AM,agg3,MA,SAM
2018-06-14,WY,SAM,agg2,HD,SAM
2018-06-18,AR,SAM,agg2,HD,SAM
2018-06-18,AR,SAM,agg2,PU,AM
2018-06-18,HJ,AM,agg2,PU,AM
2018-06-18,NW,AM,agg3,GV,SAM
2018-06-18,PU,AM,agg3,YU,SAM
2018-06-19,AR,SAM,agg2,OI,SAM
2018-06-19,NQ,AM,agg3,YR,SAM
2018-06-20,AR,SAM,agg2,OI,SAM
2018-06-21,GV,SAM,agg2,HD,SAM
2018-06-21,HJ,AM,agg2,NQ,AM
2018-06-21,IY,SAM,agg2,HS,SAM
2018-06-21,IY,SAM,agg2,YR,SAM
2018-06-21,NP,AM,agg2,HD,SAM
2018-06-21,NP,AM,agg3,HJ,AM
2018-06-21,NQ,AM,agg3,HD,SAM
2018-06-21,WC,AM,agg2,HD,SAM
2018-06-21,WO,SAM,agg2,HD,SAM
2018-06-21,WO,SAM,agg2,YR,SAM
2018-06-21,WR,SAM,agg2,HD,SAM
2018-06-21,ZP,SAM,agg2,WC,AM
2018-06-23,GV,SAM,agg2,HD,SAM
2018-06-23,HJ,AM,agg1,YR,SAM
2018-06-23,HJ,AM,agg2,YR,SAM
2018-06-23,IY,SAM,agg2,HS,SAM
2018-06-23,NW,AM,agg1,YU,SAM
2018-06-23,WC,AM,agg2,HD,SAM
2018-06-25,NI,SAM,agg2,YL,SAM
2018-06-25,YL,SAM,agg2,HD,SAM
2018-06-26,EQ,SAM,agg2,HJ,AM
2018-06-26,GL,SAM,agg2,WQ,SAM
2018-06-26,HJ,AM,agg2,EQ,SAM
2018-06-26,NQ,AM,agg1,YL,SAM
2018-06-26,PU,AM,agg2,OI,SAM
2018-06-26,WQ,SAM,agg2,HS,SAM
2018-06-26,YL,SAM,agg2,NQ,AM
2018-06-26,YV,SAM,agg2,HS,SAM
2018-06-27,AR,SAM,agg1,NI,SAM
2018-06-27,GV,SAM,agg1,MA,SAM
2018-06-27,IY,SAM,agg2,HD,SAM
2018-06-27,IY,SAM,agg2,WQ,SAM
2018-06-27,WC,AM,agg1,HS,SAM
2018-06-27,WQ,SAM,agg2,GV,SAM
2018-06-27,WQ,SAM,agg2,HT,SAM
2018-06-27,YT,AM,agg2,HD,SAM
2018-06-27,YT,AM,agg2,HS,SAM
2018-06-28,NQ,AM,agg2,YU,SAM
2018-06-28,WC,AM,agg2,NI,SAM
2018-06-29,HS,SAM,agg2,WR,SAM
2018-06-29,YT,AM,agg3,WY,SAM
2018-06-30,CE,AM,agg1,OI,SAM
2018-06-30,HJ,AM,agg2,NQ,AM
2018-06-30,NQ,AM,agg2,HJ,AM
2018-06-30,NW,AM,agg2,PU,AM
2018-06-30,PA,SAM,agg2,WQ,SAM
2018-06-30,WY,SAM,agg2,HD,SAM
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
